序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
117,008009,华商高端装备制造股票A,2026-04-27,5.4733,5.4733,1.14,2.34,14.2,26.72,47.57,175.86,196.05,153.51,41.37,447.33,176.583,0.15%
118,016373,信澳匠心严选一年持有混合C,2026-04-27,2.0916,2.0916,0.65,1.4,35.64,23.45,46.66,174.78,148.82,131.45,33.04,109.16,174.9934,0.00%
119,013369,汇添富自主核心科技一年持有混合A,2026-04-27,2.4363,2.4363,1.05,2.77,26.91,26.93,32.27,174.7,226.98,155.54,32.45,143.63,174.9774,0.15%
120,000354,长盛城镇化主题混合A,2026-04-27,4.2767,4.9247,0.81,2.18,34.56,38.22,46.82,174.66,275.45,177.71,40.59,551.32,179.2126,0.15%
121,016050,华商高端装备制造股票C,2026-04-27,5.3458,5.3458,1.14,2.33,14.14,26.48,47.08,174.1,192.44,148.82,41.05,123.81,174.8483,0.00%
122,013370,汇添富自主核心科技一年持有混合C,2026-04-27,2.3959,2.3959,1.05,2.76,26.87,26.81,32.01,173.57,224.34,152.49,32.28,139.59,173.8484,0.00%
123,501026,财通多策略福享混合(LOF),2026-04-27,1.9919,1.9919,2.01,2.95,27.18,22.41,35.48,173.5,165.3,143.72,28.14,99.19,173.6502,0.15%
124,018933,长盛城镇化主题混合C,2026-04-27,4.2068,4.2068,0.8,2.17,34.49,38.02,46.39,173.01,271.0,,40.33,180.57,177.5666,0.00%
125,006430,凯石澜龙头经济一年持有混合,2026-04-27,1.6225,2.3425,1.2,-0.64,18.31,15.16,19.2,172.96,172.28,126.48,20.22,189.42,172.6433,0.15%
126,010391,易方达战略新兴产业股票A,2026-04-27,2.2234,2.2934,2.69,5.22,27.01,28.0,32.79,172.9,244.45,185.26,34.52,131.09,174.3578,0.15%
127,014611,富国核心科技12个月持有混合A,2026-04-27,2.5478,2.5478,1.27,4.61,25.97,33.43,41.09,172.81,193.86,165.7,39.57,154.78,169.9799,0.15%
128,010622,恒越成长精选混合A,2026-04-27,1.2768,1.2768,1.57,3.86,24.88,18.16,44.78,172.59,141.73,76.94,44.78,27.68,172.9955,0.15%
129,460007,华泰柏瑞行业领先混合,2026-04-27,5.667,5.667,-0.21,4.33,28.88,43.65,64.12,172.32,147.9,104.66,48.43,466.7,175.0971,0.15%
130,540010,汇丰晋信科技先锋股票,2026-04-27,4.9406,4.9406,1.33,-0.73,19.96,22.01,40.47,172.0,200.3,123.42,35.06,394.06,171.7004,0.15%
131,519158,新华趋势领航混合,2026-04-27,5.0079,6.2633,0.38,1.25,22.43,21.86,49.51,171.81,197.86,99.18,43.03,676.18,171.637,0.15%
132,110029,易方达科讯混合,2026-04-27,3.7196,14.5685,0.54,3.38,20.48,22.2,26.17,171.79,206.3,180.23,23.52,467.04,172.3395,0.15%
133,010392,易方达战略新兴产业股票C,2026-04-27,2.1746,2.2446,2.69,5.22,26.96,27.88,32.53,171.79,241.6,181.81,34.35,126.21,173.2303,0.00%
134,010623,恒越成长精选混合C,2026-04-27,1.257,1.257,1.57,3.86,24.85,18.06,44.57,171.78,140.3,75.34,44.65,25.7,172.1958,0.00%
135,002125,广发新兴成长混合A,2026-04-27,2.4831,2.4831,-0.29,1.98,31.19,44.56,66.39,171.61,147.81,110.61,45.38,148.31,170.9329,0.15%
136,014612,富国核心科技12个月持有混合C,2026-04-27,2.4833,2.4833,1.26,4.6,25.9,33.22,40.66,171.16,190.31,160.91,39.29,148.33,168.3488,0.00%
137,006081,海富通电子传媒股票A,2026-04-27,5.1144,5.1144,1.88,4.69,28.19,25.24,30.62,171.02,170.73,87.15,31.56,411.44,169.818,0.15%
138,018291,广发新兴成长混合C,2026-04-27,2.4353,2.4353,-0.29,1.97,31.13,44.38,66.01,170.35,145.49,106.56,45.15,100.27,169.6899,0.00%
139,005550,汇安成长优选混合A,2026-04-27,3.2021,3.2021,2.1,2.21,19.46,15.15,29.95,170.31,276.54,160.33,29.3,220.21,168.7678,0.15%
140,006533,易方达科融混合,2026-04-27,7.8347,7.8347,0.68,3.63,20.98,21.55,25.31,169.99,220.29,201.71,22.98,683.47,170.3858,0.15%
141,023407,华宝创业板人工智能ETF发起式联接A,2026-04-27,2.2077,2.2077,-0.69,-2.54,17.67,12.01,34.73,169.69,,,25.83,120.77,171.9512,0.10%
142,000017,财通可持续混合,2026-04-27,3.006,4.825,2.07,3.37,27.16,21.75,34.44,169.16,161.22,138.85,27.64,705.51,169.1618,0.15%
143,023408,华宝创业板人工智能ETF发起式联接C,2026-04-27,2.1999,2.1999,-0.69,-2.55,17.64,11.93,34.53,168.87,,,25.71,119.99,171.1574,0.00%
144,006080,海富通电子传媒股票C,2026-04-27,4.7804,4.7804,1.88,4.67,28.11,24.99,30.11,168.85,166.45,82.73,31.24,378.04,167.6746,0.00%
145,007113,永赢高端制造混合A,2026-04-27,2.3866,2.3866,0.54,0.66,22.56,11.47,23.75,168.52,192.87,142.22,21.52,138.64,168.9733,0.15%
146,006751,富国互联科技股票A,2026-04-27,5.7356,5.7356,1.64,5.27,26.85,33.27,38.04,168.52,173.72,151.36,38.32,473.56,165.4756,0.15%
147,005551,汇安成长优选混合C,2026-04-27,2.9927,2.9927,2.09,2.19,19.38,14.93,29.44,168.16,270.61,154.18,28.97,199.27,166.634,0.00%
